"","filename","well","assay_variable","sample_category","biological_replicates","name","Fluorophore","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","mean_medians"
"1","A07 Well - A07 WLSM.fcs","A07","Putida","negative",1,"Putida /negative","mScarlet-I-A",-390.069458007812,-58.1576623916626,3.63667738437653,0.411175230387447,61.6217603683472,330,0.729107255736987
"2","A08 Well - A08 WLSM.fcs","A08","Putida","negative",2,"Putida /negative","mScarlet-I-A",-307.470428466797,-57.2506494522095,0.283698663115501,3.13332637310046,62.1374082565308,446,0.729107255736987
"3","A09 Well - A09 WLSM.fcs","A09","Putida","negative",3,"Putida /negative","mScarlet-I-A",-384.452087402344,-61.091215133667,-1.73305428028107,1.46941970607146,61.2894725799561,473,0.729107255736987
"4","A07 Well - A07 WLSM.fcs","A07","Putida","negative",1,"Putida /negative","mGreenLantern cor-A",-147.8818359375,1.20328038930893,27.2486848831177,29.1317914978327,55.7012271881104,278,29.2046359380086
"5","A08 Well - A08 WLSM.fcs","A08","Putida","negative",2,"Putida /negative","mGreenLantern cor-A",-117.549194335938,3.0518547296524,29.1936445236206,30.7289907495557,56.7551937103271,232,29.2046359380086
"6","A09 Well - A09 WLSM.fcs","A09","Putida","negative",3,"Putida /negative","mGreenLantern cor-A",-207.986480712891,1.64627951383591,31.1715784072876,33.1660017638109,62.8017377853394,292,29.2046359380086
"7","B01 Well - B01 WLSM.fcs","B01","sPK17","negative",1,"sPK17 /negative","mScarlet-I-A",-453.875,-59.689151763916,8.39153957366943,4.72641670242033,70.4183006286621,410,6.10413813591003
"8","B02 Well - B02 WLSM.fcs","B02","sPK17","negative",2,"sPK17 /negative","mScarlet-I-A",-395.456115722656,-58.3284912109375,4.99740266799927,2.75925775486329,66.6571426391602,358,6.10413813591003
"9","B03 Well - B03 WLSM.fcs","B03","sPK17","negative",3,"sPK17 /negative","mScarlet-I-A",-441.058654785156,-60.57275390625,4.9234721660614,3.54665248423692,69.9833068847656,394,6.10413813591003
"10","B01 Well - B01 WLSM.fcs","B01","sPK17","negative",1,"sPK17 /negative","mGreenLantern cor-A",-154.068969726562,5.49694120883942,38.6290016174316,39.7472326446836,72.2585735321045,296,36.7512283325195
"11","B02 Well - B02 WLSM.fcs","B02","sPK17","negative",2,"sPK17 /negative","mGreenLantern cor-A",-141.724090576172,8.16821622848511,36.99267578125,38.7720499562009,67.2148704528809,261,36.7512283325195
"12","B03 Well - B03 WLSM.fcs","B03","sPK17","negative",3,"sPK17 /negative","mGreenLantern cor-A",-109.726379394531,4.94127714633942,34.632007598877,35.6269491587578,64.0725040435791,293,36.7512283325195
"13","A04 Well - A04 WLSM.fcs","A04","S17","negative",1,"S17 /negative","mScarlet-I-A",-441.053070068359,-54.5146827697754,5.75528955459595,3.68594322927166,64.5375347137451,381,6.51030476888021
"14","A05 Well - A05 WLSM.fcs","A05","S17","negative",2,"S17 /negative","mScarlet-I-A",-393.194976806641,-56.5003223419189,6.36397266387939,3.82980104522933,67.2494888305664,379,6.51030476888021
"15","A06 Well - A06 WLSM.fcs","A06","S17","negative",3,"S17 /negative","mScarlet-I-A",-483.583831787109,-53.2497215270996,7.41165208816528,5.79658308312336,68.0534362792969,361,6.51030476888021
"16","A04 Well - A04 WLSM.fcs","A04","S17","negative",1,"S17 /negative","mGreenLantern cor-A",-120.122840881348,-0.387466967105865,25.8316507339478,27.2349617478756,52.7789573669434,204,26.5924065907796
"17","A05 Well - A05 WLSM.fcs","A05","S17","negative",2,"S17 /negative","mGreenLantern cor-A",-136.497863769531,0.56567670404911,26.7743158340454,28.6062176128109,54.9259605407715,244,26.5924065907796
"18","A06 Well - A06 WLSM.fcs","A06","S17","negative",3,"S17 /negative","mGreenLantern cor-A",-134.792449951172,1.45752286911011,27.1712532043457,28.8649112456107,54.4115257263184,296,26.5924065907796
"19","A10 Well - A10 WLSM.fcs","A10","Dam-","negative",1,"Dam- /negative","mScarlet-I-A",-400.829345703125,-58.7141017913818,6.21750068664551,3.95128535272267,70.8526973724365,371,6.87655393282572
"20","A11 Well - A11 WLSM.fcs","A11","Dam-","negative",2,"Dam- /negative","mScarlet-I-A",-473.611297607422,-59.3361358642578,6.91970705986023,4.01534356134976,69.5491542816162,422,6.87655393282572
"21","A12 Well - A12 WLSM.fcs","A12","Dam-","negative",3,"Dam- /negative","mScarlet-I-A",-474.899230957031,-59.4105377197266,7.49245405197144,4.50705830638073,72.060962677002,400,6.87655393282572
"22","A10 Well - A10 WLSM.fcs","A10","Dam-","negative",1,"Dam- /negative","mGreenLantern cor-A",-129.384811401367,5.76127803325653,37.2733097076416,39.6093370139588,71.3636589050293,301,34.96857325236
"23","A11 Well - A11 WLSM.fcs","A11","Dam-","negative",2,"Dam- /negative","mGreenLantern cor-A",-178.701263427734,1.31371247768402,33.1741809844971,34.8513177467855,66.4688663482666,356,34.96857325236
"24","A12 Well - A12 WLSM.fcs","A12","Dam-","negative",3,"Dam- /negative","mGreenLantern cor-A",-160.21142578125,0.970245957374573,34.4582290649414,36.3793374169865,69.5471858978271,303,34.96857325236
"25","A01 Well - A01 WLSM.fcs","A01","MG1655","negative",1,"MG1655 /negative","mScarlet-I-A",-474.003143310547,-54.6473693847656,9.07134056091309,6.41422408197947,69.6047058105469,400,8.21474186579386
"26","A02 Well - A02 WLSM.fcs","A02","MG1655","negative",2,"MG1655 /negative","mScarlet-I-A",-393.333251953125,-56.19211769104,7.41766691207886,5.69135187248823,69.9878120422363,386,8.21474186579386
"27","A03 Well - A03 WLSM.fcs","A03","MG1655","negative",3,"MG1655 /negative","mScarlet-I-A",-395.609222412109,-53.8752326965332,8.15521812438965,5.59614663314147,67.3059558868408,340,8.21474186579386
"28","A01 Well - A01 WLSM.fcs","A01","MG1655","negative",1,"MG1655 /negative","mGreenLantern cor-A",-166.72412109375,-2.74024033546448,26.1330509185791,27.6939266893154,56.0661087036133,291,24.7813940048218
"29","A02 Well - A02 WLSM.fcs","A02","MG1655","negative",2,"MG1655 /negative","mGreenLantern cor-A",-118.494255065918,-0.753017634153366,25.978289604187,28.1909749957938,55.1344327926636,258,24.7813940048218
"30","A03 Well - A03 WLSM.fcs","A03","MG1655","negative",3,"MG1655 /negative","mGreenLantern cor-A",-163.468597412109,-4.75159013271332,22.2328414916992,24.0128493711642,50.1627368927002,250,24.7813940048218
"31","H01 Well - H01 WLSM.fcs","H01","beads/sony",,1,,"mScarlet-I-A",-0.170902863144875,-0.00344261771533638,2.05028954951558e-05,9016.34773915738,0.00751400692388415,379421,9.69834399168212
"32","H01 Well - H01 WLSM_beadsony.fcs","H01","beads/sony",,1,,"mScarlet-I-A",-427.6240234375,-43.8844585418701,19.3966674804688,60986.5183018811,208.621955871582,1082068,9.69834399168212
"33","H01 Well - H01 WLSM.fcs","H01","beads/sony",,1,,"mGreenLantern cor-A",-53.2718544006348,-5.02742767333984,2.05582070350647,5539.8002713825,11.8686861991882,177402,6.91357815265656
"34","H01 Well - H01 WLSM_beadsony.fcs","H01","beads/sony",,1,,"mGreenLantern cor-A",-160.868759155273,-10.7487034797668,11.7713356018066,32829.4737474647,251.472763061523,649626,6.91357815265656
"35","D01 Well - D01 WLSM.fcs","D01","42","Repressed",1,"42 /Repressed","mScarlet-I-A",-436.227661132812,-52.4493789672852,10.3726234436035,8.02980054605686,72.6885757446289,401,10.2390133539836
"36","D02 Well - D02 WLSM.fcs","D02","42","Repressed",2,"42 /Repressed","mScarlet-I-A",-406.739227294922,-53.9631614685059,10.1519575119019,7.66693753297171,72.6800498962402,360,10.2390133539836
"37","D03 Well - D03 WLSM.fcs","D03","42","Repressed",3,"42 /Repressed","mScarlet-I-A",-498.539337158203,-53.0299816131592,10.1924591064453,7.508445699898,70.9957695007324,361,10.2390133539836
"38","D01 Well - D01 WLSM.fcs","D01","42","Repressed",1,"42 /Repressed","mGreenLantern cor-A",-80.8246307373047,141.076400756836,196.452865600586,219.216267538219,262.112060546875,5802,194.098968505859
"39","D02 Well - D02 WLSM.fcs","D02","42","Repressed",2,"42 /Repressed","mGreenLantern cor-A",-53.8127861022949,138.537189483643,192.895919799805,215.39174163488,261.066528320312,2714,194.098968505859
"40","D03 Well - D03 WLSM.fcs","D03","42","Repressed",3,"42 /Repressed","mGreenLantern cor-A",-68.2020950317383,138.75545501709,192.948120117188,212.844648910803,259.313995361328,3556,194.098968505859
"41","C04 Well - C04 WLSM.fcs","C04","42","Maximal",1,"42 /Maximal","mScarlet-I-A",-1394.62585449219,11.5911374092102,113.826976776123,132.442796142879,228.764709472656,1367,87.2894579569499
"42","C05 Well - C05 WLSM.fcs","C05","42","Maximal",2,"42 /Maximal","mScarlet-I-A",-603.57177734375,-9.45628833770752,81.5186309814453,91.2008766046709,181.971363067627,1236,87.2894579569499
"43","C06 Well - C06 WLSM.fcs","C06","42","Maximal",3,"42 /Maximal","mScarlet-I-A",-501.343353271484,-20.2844820022583,66.5227661132812,69.6710356268745,153.097457885742,805,87.2894579569499
"44","C04 Well - C04 WLSM.fcs","C04","42","Maximal",1,"42 /Maximal","mGreenLantern cor-A",-884.8798828125,690.839660644531,1600.39910888672,2488.04919044405,3126.57385253906,276517,1278.48657226562
"45","C05 Well - C05 WLSM.fcs","C05","42","Maximal",2,"42 /Maximal","mGreenLantern cor-A",-1082.01696777344,564.003570556641,1190.17425537109,1665.38191756072,2211.47283935547,106260,1278.48657226562
"46","C06 Well - C06 WLSM.fcs","C06","42","Maximal",3,"42 /Maximal","mGreenLantern cor-A",-796.16943359375,526.005615234375,1044.88635253906,1470.58871231247,1919.1455078125,113216,1278.48657226562
"47","C01 Well - C01 WLSM.fcs","C01","76","negative",1,"76 /negative","mScarlet-I-A",-415.857635498047,-51.0871868133545,11.6028890609741,9.62223881117523,71.9227294921875,378,10.5514945983887
"48","C02 Well - C02 WLSM.fcs","C02","76","negative",2,"76 /negative","mScarlet-I-A",-444.071868896484,-56.375678062439,9.94050312042236,6.50423333913402,70.7974700927734,411,10.5514945983887
"49","C03 Well - C03 WLSM.fcs","C03","76","negative",3,"76 /negative","mScarlet-I-A",-517.985900878906,-55.6360883712769,10.1110916137695,8.27606677536008,76.0247573852539,421,10.5514945983887
"50","C01 Well - C01 WLSM.fcs","C01","76","negative",1,"76 /negative","mGreenLantern cor-A",-134.939453125,-4.08675932884216,22.3581428527832,24.4823188691032,50.8383483886719,307,24.6874424616496
"51","C02 Well - C02 WLSM.fcs","C02","76","negative",2,"76 /negative","mGreenLantern cor-A",-369.113922119141,-7.27785563468933,25.3937139511108,28.3355948190609,60.7977142333984,345,24.6874424616496
"52","C03 Well - C03 WLSM.fcs","C03","76","negative",3,"76 /negative","mGreenLantern cor-A",-303.968322753906,-7.93888604640961,26.3104705810547,30.1769916924457,64.2075614929199,362,24.6874424616496
"53","G03 Well - G03 WLSM.fcs","G03","PBS","negative",2,"PBS /negative","mScarlet-I-A",-217.451126098633,-40.4794731140137,12.483377456665,9.42361332940916,56.8967475891113,236,12.483377456665
"54","G03 Well - G03 WLSM.fcs","G03","PBS","negative",2,"PBS /negative","mGreenLantern cor-A",-96.4152603149414,-16.8763065338135,1.68137502670288,1.06190584648953,18.7316341400146,90,1.68137502670288
"55","B04 Well - B04 WLSM.fcs","B04","sPK18","negative",1,"sPK18 /negative","mScarlet-I-A",-619.798461914062,-58.155740737915,42.4744415283203,40.3556852304393,141.213684082031,625,43.2159296671549
"56","B05 Well - B05 WLSM.fcs","B05","sPK18","negative",2,"sPK18 /negative","mScarlet-I-A",-686.763061523438,-55.7642230987549,46.434778213501,44.7368036256392,146.038726806641,610,43.2159296671549
"57","B06 Well - B06 WLSM.fcs","B06","sPK18","negative",3,"sPK18 /negative","mScarlet-I-A",-549.270812988281,-58.2194023132324,40.7385692596436,40.1125326416575,141.627075195312,595,43.2159296671549
"58","B04 Well - B04 WLSM.fcs","B04","sPK18","negative",1,"sPK18 /negative","mGreenLantern cor-A",54.9196357727051,4014.78234863281,4705.166015625,4797.74370708013,5490.05786132812,12809.068359375,4857.9140625
"59","B05 Well - B05 WLSM.fcs","B05","sPK18","negative",2,"sPK18 /negative","mGreenLantern cor-A",-41.8157386779785,4180.35510253906,4893.85205078125,4994.60697904275,5723.69165039062,12672.357421875,4857.9140625
"60","B06 Well - B06 WLSM.fcs","B06","sPK18","negative",3,"sPK18 /negative","mGreenLantern cor-A",-25.0694274902344,4192.82897949219,4974.72412109375,5093.89898792763,5881.7548828125,13823.8974609375,4857.9140625
"61","D04 Well - D04 WLSM.fcs","D04","F1","Repressed",1,"F1 /Repressed","mScarlet-I-A",-298.953460693359,0.842230945825577,65.9552459716797,71.9288043061397,136.771286010742,624,64.0637982686361
"62","D05 Well - D05 WLSM.fcs","D05","F1","Repressed",2,"F1 /Repressed","mScarlet-I-A",-314.327117919922,3.05523270368576,69.163330078125,74.7117289375287,141.186901092529,2462,64.0637982686361
"63","D06 Well - D06 WLSM.fcs","D06","F1","Repressed",3,"F1 /Repressed","mScarlet-I-A",-317.715759277344,-10.9720973968506,57.0728187561035,64.8596590892664,134.195114135742,849,64.0637982686361
"64","D04 Well - D04 WLSM.fcs","D04","F1","Repressed",1,"F1 /Repressed","mGreenLantern cor-A",-119.190460205078,-8.21486711502075,14.9263806343079,16.514229379313,39.5369958877563,193,15.2866965929667
"65","D05 Well - D05 WLSM.fcs","D05","F1","Repressed",2,"F1 /Repressed","mGreenLantern cor-A",-124.619941711426,-6.26112508773804,16.3825635910034,17.8820494052594,40.611346244812,176,15.2866965929667
"66","D06 Well - D06 WLSM.fcs","D06","F1","Repressed",3,"F1 /Repressed","mGreenLantern cor-A",-134.178588867188,-10.0356554985046,14.5511455535889,16.2520062991204,40.6354656219482,240,15.2866965929667
"67","C07 Well - C07 WLSM.fcs","C07","F1","Maximal",1,"F1 /Maximal","mScarlet-I-A",-337.453308105469,2809.55810546875,3482.47058105469,3696.58800711877,4297.03527832031,20144.3515625,3582.88496907552
