"","filename","well","assay_variable","sample_category","biological_replicates","name","Fluorophore","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","mean_medians"
"68","C08 Well - C08 WLSM.fcs","C08","F1","Maximal",2,"F1 /Maximal","mScarlet-I-A",-941.391845703125,2723.1962890625,3715.79174804688,4149.33690723701,5100.51123046875,20658.091796875,3582.88496907552
"69","C09 Well - C09 WLSM.fcs","C09","F1","Maximal",3,"F1 /Maximal","mScarlet-I-A",-268.764312744141,2857.62219238281,3550.392578125,3773.31104518497,4386.80615234375,19242.4765625,3582.88496907552
"70","C07 Well - C07 WLSM.fcs","C07","F1","Maximal",1,"F1 /Maximal","mGreenLantern cor-A",-252.347137451172,-21.9345226287842,7.95821762084961,6.32281126743525,36.4420652389526,185,11.1720530192057
"71","C08 Well - C08 WLSM.fcs","C08","F1","Maximal",2,"F1 /Maximal","mGreenLantern cor-A",-210.107894897461,-13.9051284790039,18.0348091125488,16.1771130632353,47.9051933288574,226,11.1720530192057
"72","C09 Well - C09 WLSM.fcs","C09","F1","Maximal",3,"F1 /Maximal","mGreenLantern cor-A",-249.732421875,-23.5562515258789,7.52313232421875,5.75472341119697,37.1400375366211,164,11.1720530192057
"73","F01 Well - F01 WLSM.fcs","F01","76/Dam-","negative",1,"76/Dam- /negative","mScarlet-I-A",-6502.0673828125,-83.2767467498779,169.207389831543,192.162187096512,444.322784423828,2830,174.855534871419
"74","F02 Well - F02 WLSM.fcs","F02","76/Dam-","negative",2,"76/Dam- /negative","mScarlet-I-A",-1178.54772949219,-34.1564064025879,188.530609130859,204.971155339306,419.530044555664,3033,174.855534871419
"75","F03 Well - F03 WLSM.fcs","F03","76/Dam-","negative",3,"76/Dam- /negative","mScarlet-I-A",-4130.65869140625,-86.3015995025635,166.828605651855,194.70836431459,442.789642333984,3640,174.855534871419
"76","F01 Well - F01 WLSM.fcs","F01","76/Dam-","negative",1,"76/Dam- /negative","mGreenLantern cor-A",173.518112182617,43241.8017578125,51261.009765625,53202.8581364745,60698.9375,195029,50800.833984375
"77","F02 Well - F02 WLSM.fcs","F02","76/Dam-","negative",2,"76/Dam- /negative","mGreenLantern cor-A",431.394378662109,42385.126953125,50512.65625,52600.3381133029,60263.3984375,210729,50800.833984375
"78","F03 Well - F03 WLSM.fcs","F03","76/Dam-","negative",3,"76/Dam- /negative","mGreenLantern cor-A",-30.4824523925781,42200.5361328125,50628.8359375,53020.0861738817,60791.6435546875,251314,50800.833984375
"79","D07 Well - D07 WLSM.fcs","D07","pKJK5","Repressed",1,"pKJK5 /Repressed","mScarlet-I-A",-1768.73266601562,416.790771484375,805.213623046875,950.122377250788,1349.62731933594,6965,719.164306640625
"80","D08 Well - D08 WLSM.fcs","D08","pKJK5","Repressed",2,"pKJK5 /Repressed","mScarlet-I-A",-1295.41735839844,386.887504577637,642.911499023438,706.740929094595,963.084869384766,3632,719.164306640625
"81","D09 Well - D09 WLSM.fcs","D09","pKJK5","Repressed",3,"pKJK5 /Repressed","mScarlet-I-A",-1726.044921875,414.066955566406,709.367797851562,798.043689994432,1100.70166015625,4018,719.164306640625
"82","D07 Well - D07 WLSM.fcs","D07","pKJK5","Repressed",1,"pKJK5 /Repressed","mGreenLantern cor-A",-1406.3525390625,23.0643711090088,199.816268920898,248.182629777371,411.097717285156,18895.171875,210.852307637533
"83","D08 Well - D08 WLSM.fcs","D08","pKJK5","Repressed",2,"pKJK5 /Repressed","mGreenLantern cor-A",-766.548645019531,122.281259536743,236.428215026855,268.360283502979,377.251327514648,4890,210.852307637533
"84","D09 Well - D09 WLSM.fcs","D09","pKJK5","Repressed",3,"pKJK5 /Repressed","mGreenLantern cor-A",-912.109497070312,80.8346939086914,196.312438964844,226.161481931104,338.983428955078,5865,210.852307637533
"85","C10 Well - C10 WLSM.fcs","C10","pKJK5","Maximal",1,"pKJK5 /Maximal","mScarlet-I-A",-443.683898925781,140.69181060791,270.699600219727,286.656975918016,411.449508666992,1672,190.4716796875
"86","C11 Well - C11 WLSM.fcs","C11","pKJK5","Maximal",2,"pKJK5 /Maximal","mScarlet-I-A",-1754.94445800781,95.1059150695801,217.274002075195,232.964105112025,350.303100585938,1669,190.4716796875
"87","C12 Well - C12 WLSM.fcs","C12","pKJK5","Maximal",3,"pKJK5 /Maximal","mScarlet-I-A",-556.695983886719,-14.9167098999023,83.4414367675781,83.425725291888,182.334243774414,714,190.4716796875
"88","C10 Well - C10 WLSM.fcs","C10","pKJK5","Maximal",1,"pKJK5 /Maximal","mGreenLantern cor-A",-439.410736083984,5560.02600097656,7129.15795898438,7840.29066725214,9589.30004882812,55016,6803.29630533854
"89","C11 Well - C11 WLSM.fcs","C11","pKJK5","Maximal",2,"pKJK5 /Maximal","mGreenLantern cor-A",-738.499145507812,5347.28662109375,6730.75244140625,7281.30102118357,8689.58154296875,36283,6803.29630533854
"90","C12 Well - C12 WLSM.fcs","C12","pKJK5","Maximal",3,"pKJK5 /Maximal","mGreenLantern cor-A",-146.514892578125,5428.04736328125,6549.978515625,6635.40651528217,7800.74755859375,26528.197265625,6803.29630533854
"91","E07 Well - E07 WLSM.fcs","E07","48","Repressed",1,"48 /Repressed","mScarlet-I-A",-1192.03967285156,-43.9548254013062,197.732460021973,216.968837045939,454.379745483398,2904,191.128138224284
"92","E08 Well - E08 WLSM.fcs","E08","48","Repressed",2,"48 /Repressed","mScarlet-I-A",-1012.88232421875,-23.4048271179199,188.784141540527,206.10559686399,417.526489257812,2214,191.128138224284
"93","E09 Well - E09 WLSM.fcs","E09","48","Repressed",3,"48 /Repressed","mScarlet-I-A",-910.372314453125,-30.1294174194336,186.867813110352,198.663915579992,411.458435058594,2449,191.128138224284
"94","E07 Well - E07 WLSM.fcs","E07","48","Repressed",1,"48 /Repressed","mGreenLantern cor-A",-179.277679443359,41120.908203125,49016.802734375,50874.2412554615,58404.8779296875,240678,49877.5006510417
"95","E08 Well - E08 WLSM.fcs","E08","48","Repressed",2,"48 /Repressed","mGreenLantern cor-A",11.5407428741455,41180.107421875,48938.0625,50746.0089464227,58236.56640625,211123,49877.5006510417
"96","E09 Well - E09 WLSM.fcs","E09","48","Repressed",3,"48 /Repressed","mGreenLantern cor-A",20.6639175415039,43610.51953125,51677.63671875,53522.8624750532,61247.59375,158083,49877.5006510417
"97","B07 Well - B07 WLSM.fcs","B07","48","Maximal",1,"48 /Maximal","mScarlet-I-A",-676.596496582031,92659.4921875,104338.515625,106910.56478428,118820.2421875,240948,133378.942708333
"98","B08 Well - B08 WLSM.fcs","B08","48","Maximal",2,"48 /Maximal","mScarlet-I-A",-367.524475097656,93780.81640625,106303.234375,108607.301068511,121214.43359375,243960,133378.942708333
"99","B09 Well - B09 WLSM.fcs","B09","48","Maximal",3,"48 /Maximal","mScarlet-I-A",-525.309387207031,130158.21484375,189495.078125,212929.138512731,266455.984375,1155725,133378.942708333
"100","B07 Well - B07 WLSM.fcs","B07","48","Maximal",1,"48 /Maximal","mGreenLantern cor-A",-636.48681640625,-78.6842651367188,5.006591796875,3.24332906732993,88.45556640625,489,201.783569335938
"101","B08 Well - B08 WLSM.fcs","B08","48","Maximal",2,"48 /Maximal","mGreenLantern cor-A",-470.316955566406,-42.7693176269531,44.5035400390625,58.9338035960912,144.055419921875,853,201.783569335938
"102","B09 Well - B09 WLSM.fcs","B09","48","Maximal",3,"48 /Maximal","mGreenLantern cor-A",-486.033325195312,308.064163208008,555.840576171875,658.703106273868,902.286987304688,5754,201.783569335938
"103","G01 Well - G01 WLSM_beads.fcs","G01","Beads",,1,,"mScarlet-I-A",-644.811889648438,-11.1678857803345,206.558822631836,124192.159283287,53336.4296875,1094652,206.558822631836
"104","G01 Well - G01 WLSM_beads.fcs","G01","Beads",,1,,"mGreenLantern cor-A",-454.290924072266,3.56695866584778,308.328216552734,66402.7618200082,28076.4921875,655829,308.328216552734
"105","E01 Well - E01 WLSM.fcs","E01","48/sPK17","Repressed",1,"48/sPK17 /Repressed","mScarlet-I-A",-245.53369140625,147.954948425293,252.362365722656,355.675096996243,371.544525146484,113066,238.883745829264
"106","E02 Well - E02 WLSM.fcs","E02","48/sPK17","Repressed",2,"48/sPK17 /Repressed","mScarlet-I-A",-265.067596435547,138.095245361328,238.184173583984,312.821250985648,353.305603027344,122635,238.883745829264
"107","E03 Well - E03 WLSM.fcs","E03","48/sPK17","Repressed",3,"48/sPK17 /Repressed","mScarlet-I-A",-237.440368652344,130.39714050293,226.104698181152,313.150121850544,337.634628295898,104555,238.883745829264
"108","E01 Well - E01 WLSM.fcs","E01","48/sPK17","Repressed",1,"48/sPK17 /Repressed","mGreenLantern cor-A",-133.132415771484,10.4715585708618,42.0004119873047,43.5906406681946,74.5242691040039,529,40.0678393046061
"109","E02 Well - E02 WLSM.fcs","E02","48/sPK17","Repressed",2,"48/sPK17 /Repressed","mGreenLantern cor-A",-117.455276489258,9.76976156234741,38.4569702148438,40.2651884390866,68.7519340515137,326,40.0678393046061
"110","E03 Well - E03 WLSM.fcs","E03","48/sPK17","Repressed",3,"48/sPK17 /Repressed","mGreenLantern cor-A",-120.635757446289,12.8660678863525,39.7461357116699,41.9767778604447,68.8133945465088,371,40.0678393046061
"111","E10 Well - E10 WLSM.fcs","E10","51","Repressed",1,"51 /Repressed","mScarlet-I-A",-767.845031738281,70.1492500305176,279.491058349609,299.506474626874,508.739280700684,3038,285.765853881836
"112","E11 Well - E11 WLSM.fcs","E11","51","Repressed",2,"51 /Repressed","mScarlet-I-A",-1116.99572753906,92.6634292602539,318.562301635742,340.955010566803,565.120590209961,3921,285.765853881836
"113","E12 Well - E12 WLSM.fcs","E12","51","Repressed",3,"51 /Repressed","mScarlet-I-A",-1145.31494140625,3.27779757976532,259.244201660156,275.198628005938,516.534057617188,2845,285.765853881836
"114","E10 Well - E10 WLSM.fcs","E10","51","Repressed",1,"51 /Repressed","mGreenLantern cor-A",393.774627685547,43320.37890625,51226.390625,53047.182043802,60552.2470703125,249740,50835.0397135417
"115","E11 Well - E11 WLSM.fcs","E11","51","Repressed",2,"51 /Repressed","mGreenLantern cor-A",19.6867389678955,42577.2890625,50502.447265625,52575.2896154286,60485.6044921875,284187,50835.0397135417
"116","E12 Well - E12 WLSM.fcs","E12","51","Repressed",3,"51 /Repressed","mGreenLantern cor-A",-57.666130065918,42843.5830078125,50776.28125,52471.7869669979,60073.701171875,193151,50835.0397135417
"117","B10 Well - B10 WLSM.fcs","B10","51","Maximal",1,"51 /Maximal","mScarlet-I-A",-546.484802246094,2277.29174804688,2888.50390625,3182.84799290166,3777.84643554688,20238.189453125,3380.68790690104
"118","B11 Well - B11 WLSM.fcs","B11","51","Maximal",2,"51 /Maximal","mScarlet-I-A",-576.405334472656,2781.9892578125,4443.41064453125,5179.07460556962,6770.87548828125,33560,3380.68790690104
"119","B12 Well - B12 WLSM.fcs","B12","51","Maximal",3,"51 /Maximal","mScarlet-I-A",-766.401733398438,2178.91882324219,2810.14916992188,3111.87079471848,3695.92028808594,30376.107421875,3380.68790690104
"120","B10 Well - B10 WLSM.fcs","B10","51","Maximal",1,"51 /Maximal","mGreenLantern cor-A",-164.384384155273,2.2718391418457,33.7322769165039,36.4255398832254,68.1701850891113,333,32.7396659851074
"121","B11 Well - B11 WLSM.fcs","B11","51","Maximal",2,"51 /Maximal","mGreenLantern cor-A",-602.708862304688,-12.3114356994629,31.6329689025879,34.0097101757188,78.0353698730469,482,32.7396659851074
"122","B12 Well - B12 WLSM.fcs","B12","51","Maximal",3,"51 /Maximal","mGreenLantern cor-A",-192.728637695312,0.723344802856445,32.8537521362305,35.622682453426,67.7625923156738,301,32.7396659851074
"123","E04 Well - E04 WLSM.fcs","E04","48/sPK18","Repressed",1,"48/sPK18 /Repressed","mScarlet-I-A",-3620.658203125,-43.9290952682495,235.075836181641,372.389191040458,505.561462402344,121829,356.743245442708
"124","E05 Well - E05 WLSM.fcs","E05","48/sPK18","Repressed",2,"48/sPK18 /Repressed","mScarlet-I-A",-807.903381347656,219.819747924805,390.232421875,450.927332586831,570.301940917969,114333,356.743245442708
"125","E06 Well - E06 WLSM.fcs","E06","48/sPK18","Repressed",3,"48/sPK18 /Repressed","mScarlet-I-A",-508.069030761719,285.409759521484,444.921478271484,628.169609351786,625.745910644531,249190,356.743245442708
"126","E04 Well - E04 WLSM.fcs","E04","48/sPK18","Repressed",1,"48/sPK18 /Repressed","mGreenLantern cor-A",-251.163040161133,4223.40478515625,5500.48510742188,6171.81164605563,7559.91345214844,25779.029296875,4859.78361002604
"127","E05 Well - E05 WLSM.fcs","E05","48/sPK18","Repressed",2,"48/sPK18 /Repressed","mGreenLantern cor-A",-241.903228759766,3792.0390625,4572.60595703125,4708.26300865856,5461.4228515625,14384.1884765625,4859.78361002604
"128","E06 Well - E06 WLSM.fcs","E06","48/sPK18","Repressed",3,"48/sPK18 /Repressed","mGreenLantern cor-A",-76.9648513793945,3753.57202148438,4506.259765625,4634.21242114737,5405.9951171875,12431.3583984375,4859.78361002604
"129","D10 Well - D10 WLSM.fcs","D10","48/Dam-","Maximal",1,"48/Dam- /Maximal","mScarlet-I-A",-2254.54174804688,188141.484375,222725.40625,232869.922488744,266841.8046875,675806,217153.739583333
"130","D11 Well - D11 WLSM.fcs","D11","48/Dam-","Maximal",2,"48/Dam- /Maximal","mScarlet-I-A",-1551.02868652344,173989.03515625,210250.15625,219536.355032462,255565.25,734437,217153.739583333
"131","D12 Well - D12 WLSM.fcs","D12","48/Dam-","Maximal",3,"48/Dam- /Maximal","mScarlet-I-A",-1938.95104980469,183823.0234375,218485.65625,228203.992304683,261886.21875,651655,217153.739583333
"132","D10 Well - D10 WLSM.fcs","D10","48/Dam-","Maximal",1,"48/Dam- /Maximal","mGreenLantern cor-A",-1569.19775390625,105.187728881836,240.645080566406,260.688931490066,388.562683105469,2037,216.294942220052
"133","D11 Well - D11 WLSM.fcs","D11","48/Dam-","Maximal",2,"48/Dam- /Maximal","mGreenLantern cor-A",-1222.78271484375,77.8827514648438,211.542114257812,231.214052681943,356.500595092773,2009,216.294942220052
"134","D12 Well - D12 WLSM.fcs","D12","48/Dam-","Maximal",3,"48/Dam- /Maximal","mGreenLantern cor-A",-1214.87145996094,66.4498291015625,196.697631835938,219.21961119826,340.761779785156,2087,216.294942220052
"135","G04 Well - G04 WLSM.fcs","G04",,,,,"mScarlet-I-A",-259.856628417969,-38.3038787841797,13.3502826690674,10.8116336778965,59.8629455566406,255,13.3502826690674
"136","G04 Well - G04 WLSM.fcs","G04",,,,,"mGreenLantern cor-A",-110.125984191895,-13.7500696182251,2.17382621765137,0.434827939170024,15.7310733795166,71,2.17382621765137
